path,sha256,bytes,last_write_utc
"images/avatars/Kara/at-desk.png","e9a1a042ecfb60e407e9c8c3eb685dfb2cce564c6269674f805b8c3d09b69cf9",233142,"2026-07-16T03:30:11.9355262Z"
"images/avatars/Kara/carry.png","401427e21964cc2ec325700c7e938ca9168c6f0decc94b5be60f0ba9ea026b4a",261339,"2026-07-16T03:30:11.9455254Z"
"images/avatars/Kara/carry-down.png","caa2bfa183385ed407c4d60b4cbd50a28b3735797b7dea7893c1b69c7016b166",272873,"2026-07-14T10:34:16.7140051Z"
"images/avatars/Kara/carry-up.png","a46bd45a8610804429e5511900f2c1b49498d1d29278442d7eacc22dc6256377",265685,"2026-07-14T10:32:21.8665745Z"
"images/avatars/Kara/idle.png","5825dd8a2429590f72023e47734036a2534257d14fd6ed572374624b7172debe",250622,"2026-07-16T03:30:11.9565251Z"
"images/avatars/Kara/seated-idle-back.png","34af4773e1f5d23d7714914181ad500347a70d423112fec20f18f4c65e52cf2f",230865,"2026-07-15T03:08:25.3225378Z"
"images/avatars/Kara/seated-working-back.png","64f9c61e1719475e45112234a7227a68f9640f7ee0c3ab29963247933c9360d0",250310,"2026-07-15T04:36:29.7861389Z"
"images/avatars/Kara/walk.png","16a126f9bdb73b2a20d115aac63506db6904175a81389480de89939231f3456f",294365,"2026-07-16T03:30:11.9795258Z"
"images/avatars/Kara/walk-down.png","8293b86b17f921348fc4404be33db2c267a77aaf2aad4126fba87261568bfd14",241186,"2026-07-16T03:30:11.9675246Z"
"images/avatars/Kara/walk-up.png","18c44fa61bb04f56311a2f50cbfff3d6977805c1d2c1431ecd12b4dc95caf929",256514,"2026-07-14T10:27:17.4389921Z"
"images/avatars/Leo/at-desk.png","70cc8e3fcb28dbafa4f6fe4e169495d01daa20d740d2ec114d26763736d6015a",226717,"2026-07-16T03:30:11.9909256Z"
"images/avatars/Leo/carry.png","6779eaf1463e2e16eb9d8b252863d1062272194a089ac4c8563a5f1941ba37e2",292996,"2026-07-16T03:30:12.0009234Z"
"images/avatars/Leo/carry-down.png","8ed2f4e591ee0f8a9002f1c45e686bfd31b3f455a0af106a48ee868645a0331c",261060,"2026-07-14T10:44:19.1666937Z"
"images/avatars/Leo/carry-up.png","10fdcda1b2a5c556874534127f1aaeb277c9b7659f4e73f8b98bd7bd690fa37e",292200,"2026-07-14T12:16:17.6045696Z"
"images/avatars/Leo/idle.png","666c332da7e0838bfda12c90c57af2a4a9f294056c897829866738364db5803f",230705,"2026-07-16T03:30:12.0120486Z"
"images/avatars/Leo/seated-idle-back.png","74b8cd6684e04ece06f181cfd51ea1e2ad23b6b6eaa10d7dee25f70eba1467da",224151,"2026-07-15T03:13:09.2177797Z"
"images/avatars/Leo/seated-working-back.png","6913d42e92c3375843ce3d3ace447b447d9e6a4e85e079b3b2f52740b2d3018b",234548,"2026-07-15T03:51:38.5293080Z"
"images/avatars/Leo/walk.png","a72a1eda4fc7c58991c92f463517706a16891ac5a22773d34f9affcd73ee8f81",209667,"2026-07-16T03:30:12.0230483Z"
"images/avatars/Leo/walk-down.png","53b583bc7dea11d5d94755d58639cf019ae007f1295a7feab422a65d0fb3dadc",234880,"2026-07-14T10:31:30.8980734Z"
"images/avatars/Leo/walk-up.png","f58fd641f97ffa6b88503c7ce8c98f4df4fdbd930581435be3049a3df7819ac7",238101,"2026-07-14T12:10:17.5841553Z"
"images/avatars/Quinn/at-desk.png","118d4b6abdbad1ba146716ee105b1bd1757c7fba72d15d3d37b0fd8c6b3397ae",303647,"2026-07-16T03:30:12.0331209Z"
"images/avatars/Quinn/carry.png","d836b947cd55e9325235ac5445665c6dceac90aa8a54b11edf1e4df98afea17f",295488,"2026-07-16T03:30:12.0422763Z"
"images/avatars/Quinn/carry-down.png","4ac0326cd7b6ae871f7c4d4050eb421527eb457d7c069fbd82ef4370162db670",285200,"2026-07-14T11:00:28.9950317Z"
"images/avatars/Quinn/carry-up.png","f0e4c0a41d7d80c75224684714641d651f5626e414ea631be0685f8e5463f9c9",277640,"2026-07-14T10:56:59.7402935Z"
"images/avatars/Quinn/idle.png","6a952515b2a6d5432df0032f4f773a053915fc3a16cbd8ac11460436039dc19b",241394,"2026-07-16T03:30:12.0513627Z"
"images/avatars/Quinn/seated-idle-back.png","7b4cc26e1774579a5d019e4468836f099dbd0b9e737f866d75b6c1b7709738dd",263206,"2026-07-14T10:32:37.6307127Z"
"images/avatars/Quinn/seated-working-back.png","3516ec41a17f5509fe7870edb2df3bf4ebfa4725d2e28041c3b141cf955fb2bf",271327,"2026-07-14T10:40:54.6653332Z"
"images/avatars/Quinn/walk.png","f4c31287cd036b6d2c3c486bc05fce14eabbd75866cf16055b14fe17564008c7",201359,"2026-07-16T03:30:12.0613612Z"
"images/avatars/Quinn/walk-down.png","bd746e5f1c89ef461cd9da3ed4c33ddc2d455bcd3c7c30e81115fe9e8cb1963c",251988,"2026-07-14T10:53:48.6395882Z"
"images/avatars/Quinn/walk-up.png","a0b467e91256a57cce9a0903c79823207c7d8c9cc570287133dc87afd3d65763",211176,"2026-07-14T10:49:41.5268161Z"
"images/avatars/Rita/at-desk.png","8556371d84e7a06083117b3a155ee336aa0ba77ad0a9a446842c7d128909e2a0",286244,"2026-07-16T03:30:12.0693602Z"
"images/avatars/Rita/carry.png","6fb858b2e383b302354026d60814c616000490fffa56696277fd0334f604bda4",340307,"2026-07-16T03:30:12.0783613Z"
"images/avatars/Rita/carry-down.png","2c48e259a2ec49c35b92d964c673debe4e1f292a4d95156c48e5ed3e26c0c237",282071,"2026-07-14T11:38:32.1295210Z"
